,Player,PlayerURL
11,Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen
15,Mathias Jensen,https://fbref.com/en/players/0f134faf/Mathias-Jensen
16,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen
17,Martin Braithwaite,https://fbref.com/en/players/fd771f95/Martin-Braithwaite
19,Rasmus Nissen,https://fbref.com/en/players/39769cff/Rasmus-Nissen
21,Kasper Dolberg,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg
22,Andreas Cornelius,https://fbref.com/en/players/c693347d/Andreas-Cornelius
25,Victor Nelsson,https://fbref.com/en/players/e53b5534/Victor-Nelsson
28,Jesper Lindstrøm,https://fbref.com/en/players/37dc1a48/Jesper-Lindstrom
29,Robert Skov,https://fbref.com/en/players/ff98492b/Robert-Skov
35,Alexander Bah,https://fbref.com/en/players/78f21137/Alexander-Bah
0,Pervis Estupiñán,https://fbref.com/en/players/d38fdf53/Pervis-Estupinan
1,Carlos Gruezo,https://fbref.com/en/players/f2dd9a21/Carlos-Gruezo
2,Moisés Caicedo,https://fbref.com/en/players/16264a81/Moises-Caicedo
4,Michael Estrada,https://fbref.com/en/players/773f5f12/Michael-Estrada
5,Piero Hincapié,https://fbref.com/en/players/0c7a48f8/Piero-Hincapie
6,Félix Torres Caicedo,https://fbref.com/en/players/c0a8860f/Felix-Torres-Caicedo
8,Enner Valencia,https://fbref.com/en/players/fb485406/Enner-Valencia
9,Ángelo Preciado,https://fbref.com/en/players/eadc8e4f/Angelo-Preciado
11,Gonzalo Plata,https://fbref.com/en/players/54bcdeb0/Gonzalo-Plata
14,Alan Franco,https://fbref.com/en/players/c76b161b/Alan-Franco
15,Hernán Galíndez,https://fbref.com/en/players/89c136f6/Hernan-Galindez
16,Jhegson Méndez,https://fbref.com/en/players/db0c5324/Jhegson-Mendez
18,Jeremy Sarmiento,https://fbref.com/en/players/ac0d576d/Jeremy-Sarmiento
19,Romario Ibarra,https://fbref.com/en/players/b494ccf5/Romario-Ibarra
29,José Cifuentes,https://fbref.com/en/players/8c8c07a7/Jose-Cifuentes
33,Djorkaeff Reasco,https://fbref.com/en/players/5d7b7f0e/Djorkaeff-Reasco
58,Jackson Porozo,https://fbref.com/en/players/7d704e92/Jackson-Porozo
0,John Stones,https://fbref.com/en/players/5eecec3d/John-Stones
1,Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane
2,Raheem Sterling,https://fbref.com/en/players/b400bde0/Raheem-Sterling
3,Kalvin Phillips,https://fbref.com/en/players/4f565d77/Kalvin-Phillips
4,Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker
5,Mason Mount,https://fbref.com/en/players/9674002f/Mason-Mount
6,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden
