,player,position,team,age,club,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,tackles_interceptions,clearances,errors,ball_recoveries,aerials_won,aerials_lost,passes,passes_live,passes_dead,passes_free_kicks,passes_completed,passes_pct,passes_total_distance,passes_progressive_distance,passes_pct_short,passes_pct_medium,passes_pct_long,passes_into_final_third,touches
10,Edouard Mendy,GK,Senegal,30-292,Chelsea,1992,4,4,360,4.0,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,,0,1,0,5.4,0.41,-1.6,-0.41,15,44,34.1,94,15,39.4,35.5,26,26.9,30.1,64,3,4.7,2,0.5,11.8,0.0,3.0,1.0,4.0,3.0,1.0,120.0,83.0,37.0,11.0,88.0,73.3,2342.0,1501.0,100.0,100.0,45.8,1.0,128.0
11,Emiliano Martínez,GK,Argentina,30-107,Aston Villa,1992,7,7,690,7.7,8,1.04,13,6,53.8,4,2,1,3,42.9,2,2,0,0,0.0,0,0,1,5.4,0.26,-1.6,-0.22,15,78,19.2,147,34,38.8,34.4,39,53.8,46.0,87,12,13.8,4,0.57,12.1,0.0,3.0,0.0,4.0,2.0,0.0,187.0,131.0,55.0,16.0,120.0,64.2,2839.0,1877.0,100.0,100.0,26.1,1.0,196.0
12,Gregor Kobel,GK,Switzerland,25-012,Dortmund,1997,1,1,90,1.0,2,2.0,4,2,50.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,1.5,0.37,-0.5,-0.5,1,9,11.1,21,6,28.6,33.0,8,37.5,36.3,19,0,0.0,0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,29.0,18.0,11.0,3.0,21.0,72.4,478.0,277.0,100.0,100.0,11.1,0.0,29.0
13,Guillermo Ochoa,GK,Mexico,37-158,América,1985,3,3,270,3.0,3,1.0,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0,0,1,0,3.0,0.33,0.0,-0.01,10,24,41.7,81,12,19.8,28.1,26,30.8,32.8,28,0,0.0,3,1.0,12.9,0.0,0.0,0.0,7.0,0.0,0.0,109.0,75.0,32.0,6.0,93.0,85.3,2274.0,1555.0,100.0,100.0,60.0,1.0,112.0
14,Hernán Galíndez,GK,Ecuador,35-263,SD Aucas,1987,3,3,270,3.0,3,1.0,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0,0,0,0,2.1,0.27,-0.9,-0.31,11,40,27.5,53,6,47.2,38.3,21,71.4,52.0,26,1,3.8,2,0.67,13.0,0.0,0.0,0.0,3.0,2.0,0.0,74.0,46.0,28.0,7.0,44.0,59.5,1275.0,996.0,100.0,100.0,34.8,0.0,77.0
15,Hossein Hosseini,GK,IR Iran,30-171,Esteghlal,1992,2,1,161,1.8,6,3.35,10,4,40.0,1,0,0,1,100.0,0,0,0,0,,0,1,0,3.7,0.37,-2.3,-1.28,8,30,26.7,34,14,55.9,41.0,11,100.0,64.6,27,4,14.8,0,0.0,7.3,0.0,0.0,0.0,0.0,1.0,1.0,47.0,30.0,15.0,4.0,23.0,48.9,811.0,676.0,,100.0,38.9,0.0,49.0
16,Hugo Lloris,GK,France,35-357,Tottenham,1986,6,6,570,6.3,7,1.11,24,17,83.3,5,1,0,1,16.7,4,3,0,1,0.0,0,1,0,8.7,0.25,1.7,0.29,34,100,34.0,125,22,49.6,39.5,56,67.9,50.0,70,7,10.0,5,0.83,13.9,0.0,3.0,0.0,5.0,3.0,0.0,182.0,108.0,73.0,17.0,110.0,60.4,3608.0,2916.0,100.0,95.7,40.0,2.0,203.0
17,Jordan Pickford,GK,England,28-286,Everton,1994,5,5,450,5.0,4,0.8,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0,0,1,0,2.5,0.24,-1.5,-0.3,20,51,39.2,123,14,27.6,29.2,36,47.2,45.9,39,2,5.1,5,1.0,16.2,0.0,2.0,0.0,4.0,0.0,0.0,160.0,120.0,39.0,3.0,126.0,78.8,3259.0,2161.0,100.0,100.0,46.7,2.0,169.0
18,Kasper Schmeichel,GK,Denmark,36-043,Nice,1986,3,3,270,3.0,3,1.0,11,8,72.7,0,1,2,1,33.3,0,0,0,0,,0,0,0,3.7,0.34,0.7,0.24,9,24,37.5,71,12,26.8,30.2,16,31.3,35.8,38,0,0.0,5,1.67,19.2,0.0,0.0,0.0,5.0,2.0,0.0,87.0,69.0,18.0,1.0,72.0,82.8,1830.0,1388.0,100.0,100.0,57.1,3.0,91.0
19,Keylor Navas,GK,Costa Rica,36-003,Paris S-G,1986,3,3,270,3.0,11,3.67,22,11,54.5,1,0,2,1,33.3,1,1,0,0,0.0,0,0,0,9.6,0.39,-1.4,-0.46,20,58,34.5,68,14,50.0,41.7,33,72.7,52.0,51,2,3.9,2,0.67,9.9,2.0,2.0,1.0,0.0,0.0,0.0,102.0,60.0,41.0,8.0,61.0,59.8,2135.0,1522.0,100.0,100.0,42.6,1.0,114.0
20,Kim Seung-gyu,GK,Korea Republic,32-079,Al-Shabab,1990,4,4,360,4.0,8,2.0,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0,0,0,0,6.6,0.3,-1.4,-0.34,11,42,26.2,99,12,28.3,31.5,29,48.3,43.3,47,3,6.4,5,1.25,15.2,2.0,2.0,0.0,5.0,0.0,2.0,128.0,85.0,43.0,14.0,93.0,72.7,2291.0,1407.0,100.0,100.0,42.4,1.0,139.0
21,Lawrence Ati-Zigi,GK,Ghana,26-019,St. Gallen,1996,3,3,270,3.0,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0,0,0,0,6.5,0.34,-0.5,-0.18,13,36,36.1,47,8,53.2,41.6,31,35.5,35.0,58,2,3.4,1,0.33,11.4,0.0,0.0,0.0,3.0,0.0,0.0,78.0,39.0,39.0,8.0,54.0,69.2,1547.0,1137.0,100.0,100.0,36.8,1.0,87.0
22,Manuel Neuer,GK,Germany,36-266,Bayern Munich,1986,3,3,270,3.0,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,,0,0,0,5.1,0.44,0.1,0.04,7,15,46.7,113,16,13.3,25.7,14,0.0,22.4,22,0,0.0,6,2.0,20.3,0.0,0.0,2.0,4.0,0.0,0.0,127.0,111.0,16.0,2.0,115.0,90.6,2729.0,1737.0,100.0,96.2,78.3,0.0,133.0
